Sample Name,Analysis Name,Mineral phase,Context,Unit Abbreviation,SiO2  ,TiO2,   Al2O3 ,FeO*   ,FeO,Fe2O3,CaO   ,Na2O  ,K2O,MnO   ,MgO   ,NiO   ,Cr2O3 ,V2O3 ,Total  ,XAb,XAn,XOr,XFa,XFo,XTp,XWo,XEn,XFs,XJd,XAe,XQuad,,,,,,,,,,
R14AC91,MW3-C4 ,Plagioclase,Phenocryst Core,tg2,66.6,n/a,19.1,0.17,n/a,n/a,0.5,8.8,3.9,n/a,n/a,n/a,n/a,n/a,99.1,76,2.5,22,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-C5 ,Plagioclase,Phenocryst Core,tg2,66.2,n/a,19.4,0.29,n/a,n/a,0.5,8.6,4.4,n/a,n/a,n/a,n/a,n/a,99.4,73,2.5,25,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-R1 ,Plagioclase,Phenocryst Rim,tg2,67.4,n/a,18.7,0.25,n/a,n/a,0.2,7.6,6.1,n/a,n/a,n/a,n/a,n/a,100.3,65,1.0,34,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-R2 ,Plagioclase,Phenocryst Rim,tg2,67.1,n/a,19.2,0.40,n/a,n/a,0.4,8.1,4.8,n/a,n/a,n/a,n/a,n/a,100.0,71,2.0,28,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-R4 ,Plagioclase,Phenocryst Rim,tg2,66.4,n/a,19.3,0.21,n/a,n/a,0.5,8.9,4.1,n/a,n/a,n/a,n/a,n/a,99.4,75,2.5,23,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-R5 ,Plagioclase,Phenocryst Rim,tg2,66.3,n/a,19.3,0.21,n/a,n/a,0.6,8.4,4.1,n/a,n/a,n/a,n/a,n/a,98.9,73,2.8,24,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-C1 ,Plagioclase,Phenocryst Core,tg2,66.7,n/a,19.0,0.17,n/a,n/a,0.2,6.3,8.0,n/a,n/a,n/a,n/a,n/a,100.4,54,1.1,45,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-C2 ,Plagioclase,Phenocryst Core,tg2,66.3,n/a,19.0,0.25,n/a,n/a,0.2,5.9,8.3,n/a,n/a,n/a,n/a,n/a,100.0,51,1.2,47,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-C3 ,Plagioclase,Phenocryst Core,tg2,66.8,n/a,19.1,0.23,n/a,n/a,0.2,6.3,8.1,n/a,n/a,n/a,n/a,n/a,100.7,54,0.9,45,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-C4 ,Plagioclase,Phenocryst Core,tg2,66.6,n/a,18.9,0.22,n/a,n/a,0.2,5.9,8.3,n/a,n/a,n/a,n/a,n/a,100.1,52,0.9,47,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-C5 ,Plagioclase,Phenocryst Core,tg2,66.5,n/a,18.9,0.20,n/a,n/a,0.2,5.7,8.4,n/a,n/a,n/a,n/a,n/a,99.9,50,1.1,49,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-R1 ,Plagioclase,Phenocryst Rim,tg2,64.8,n/a,18.8,0.18,n/a,n/a,0.2,5.9,7.7,n/a,n/a,n/a,n/a,n/a,97.6,54,0.9,46,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-R2 ,Plagioclase,Phenocryst Rim,tg2,64.6,n/a,18.9,0.17,n/a,n/a,0.2,7.3,6.0,n/a,n/a,n/a,n/a,n/a,97.2,64,1.1,35,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-R3 ,Plagioclase,Phenocryst Rim,tg2,66.4,n/a,19.4,0.28,n/a,n/a,0.2,8.8,4.4,n/a,n/a,n/a,n/a,n/a,99.5,75,0.9,24,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-R4 ,Plagioclase,Phenocryst Rim,tg2,66.7,n/a,18.9,0.37,n/a,n/a,0.3,7.8,5.2,n/a,n/a,n/a,n/a,n/a,99.3,69,1.4,30,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-R5 ,Plagioclase,Phenocryst Rim,tg2,66.4,n/a,18.8,0.28,n/a,n/a,0.1,7.3,6.1,n/a,n/a,n/a,n/a,n/a,99.0,64,0.7,35,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-C1 ,Plagioclase,Phenocryst Core,tg2,64.8,n/a,18.7,0.23,n/a,n/a,0.1,6.7,7.2,n/a,n/a,n/a,n/a,n/a,97.7,58,0.7,41,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-C2 ,Plagioclase,Phenocryst Core,tg2,65.3,n/a,19.4,0.18,n/a,n/a,0.3,9.0,3.8,n/a,n/a,n/a,n/a,n/a,98.0,77,1.4,22,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-C3 ,Plagioclase,Phenocryst Core,tg2,64.6,n/a,19.4,0.15,n/a,n/a,0.4,7.9,5.0,n/a,n/a,n/a,n/a,n/a,97.5,69,2.0,29,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-C4 ,Plagioclase,Phenocryst Core,tg2,65.1,n/a,19.4,0.20,n/a,n/a,0.5,8.6,4.1,n/a,n/a,n/a,n/a,n/a,97.9,74,2.3,23,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-C5 ,Plagioclase,Phenocryst Core,tg2,65.0,n/a,19.2,0.30,n/a,n/a,0.4,7.7,5.3,n/a,n/a,n/a,n/a,n/a,97.9,67,2.0,31,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-R1 ,Plagioclase,Phenocryst Rim,tg2,65.6,n/a,19.2,0.15,n/a,n/a,0.3,7.2,6.3,n/a,n/a,n/a,n/a,n/a,98.8,63,1.4,36,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-R2 ,Plagioclase,Phenocryst Rim,tg2,64.9,n/a,18.7,0.12,n/a,n/a,0.2,6.1,7.6,n/a,n/a,n/a,n/a,n/a,97.6,54,0.8,45,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-R3 ,Plagioclase,Phenocryst Rim,tg2,67.4,n/a,19.1,0.30,n/a,n/a,0.3,7.1,6.3,n/a,n/a,n/a,n/a,n/a,100.5,62,1.3,36,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-R4 ,Plagioclase,Phenocryst Rim,tg2,66.6,n/a,19.4,0.50,n/a,n/a,0.2,7.5,5.8,n/a,n/a,n/a,n/a,n/a,100.0,66,0.9,33,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-R5 ,Plagioclase,Phenocryst Rim,tg2,66.3,n/a,19.1,0.18,n/a,n/a,0.1,6.2,8.0,n/a,n/a,n/a,n/a,n/a,99.9,54,0.3,46,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-C1 ,Plagioclase,Phenocryst Core,tg2,64.6,n/a,18.7,0.20,n/a,n/a,0.1,6.0,8.5,n/a,n/a,n/a,n/a,n/a,98.1,52,0.4,48,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-C2 ,Plagioclase,Phenocryst Core,tg2,64.6,n/a,18.8,0.22,n/a,n/a,0.2,5.6,8.8,n/a,n/a,n/a,n/a,n/a,98.2,49,0.8,50,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-C3 ,Plagioclase,Phenocryst Core,tg2,64.6,n/a,18.9,0.18,n/a,n/a,0.1,5.6,8.7,n/a,n/a,n/a,n/a,n/a,98.1,49,0.6,50,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-C4 ,Plagioclase,Phenocryst Core,tg2,64.8,n/a,18.9,0.21,n/a,n/a,0.2,6.0,8.2,n/a,n/a,n/a,n/a,n/a,98.3,52,0.9,47,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-C5 ,Plagioclase,Phenocryst Core,tg2,65.2,n/a,19.1,0.21,n/a,n/a,0.2,6.0,8.1,n/a,n/a,n/a,n/a,n/a,98.8,52,1.1,47,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-R1 ,Plagioclase,Phenocryst Rim,tg2,66.2,n/a,19.5,0.33,n/a,n/a,0.3,7.2,5.3,n/a,n/a,n/a,n/a,n/a,98.8,66,1.4,32,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-R2 ,Plagioclase,Phenocryst Rim,tg2,67.0,n/a,18.9,0.22,n/a,n/a,0.2,6.3,7.2,n/a,n/a,n/a,n/a,n/a,99.8,56,1.1,43,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-R3 ,Plagioclase,Phenocryst Rim,tg2,65.6,n/a,19.8,0.19,n/a,n/a,0.7,8.8,3.6,n/a,n/a,n/a,n/a,n/a,98.7,77,3.2,20,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-R4 ,Plagioclase,Phenocryst Rim,tg2,66.3,n/a,18.9,0.16,n/a,n/a,0.2,6.4,7.3,n/a,n/a,n/a,n/a,n/a,99.3,57,1.1,42,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-R5 ,Plagioclase,Phenocryst Rim,tg2,66.5,n/a,19.3,0.18,n/a,n/a,0.2,6.6,7.5,n/a,n/a,n/a,n/a,n/a,100.3,57,1.0,42,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-C1 ,Plagioclase,Phenocryst Core,tg2,64.9,n/a,18.9,0.14,n/a,n/a,0.2,6.4,7.5,n/a,n/a,n/a,n/a,n/a,98.0,56,0.9,43,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-C2 ,Plagioclase,Phenocryst Core,tg2,65.0,n/a,19.0,0.13,n/a,n/a,0.2,6.3,7.7,n/a,n/a,n/a,n/a,n/a,98.3,55,0.8,44,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-C3 ,Plagioclase,Phenocryst Core,tg2,64.6,n/a,19.0,0.17,n/a,n/a,0.2,6.3,7.6,n/a,n/a,n/a,n/a,n/a,97.9,55,1.1,44,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-C4 ,Plagioclase,Phenocryst Core,tg2,64.3,n/a,18.8,0.19,n/a,n/a,0.2,6.2,7.7,n/a,n/a,n/a,n/a,n/a,97.4,55,0.9,45,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-C5 ,Plagioclase,Phenocryst Core,tg2,64.4,n/a,19.0,0.18,n/a,n/a,0.2,5.9,8.0,n/a,n/a,n/a,n/a,n/a,97.7,53,0.9,47,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-R1 ,Plagioclase,Phenocryst Rim,tg2,66.6,n/a,18.8,0.16,n/a,n/a,0.1,7.2,6.1,n/a,n/a,n/a,n/a,n/a,99.0,64,0.7,35,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-R2 ,Plagioclase,Phenocryst Rim,tg2,63.9,n/a,18.7,0.21,n/a,n/a,0.3,5.8,8.2,n/a,n/a,n/a,n/a,n/a,97.1,51,1.3,48,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-R3 ,Plagioclase,Phenocryst Rim,tg2,65.3,n/a,19.3,0.18,n/a,n/a,0.5,7.9,5.4,n/a,n/a,n/a,n/a,n/a,98.6,67,2.4,30,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-R4 ,Plagioclase,Phenocryst Rim,tg2,65.7,n/a,19.1,0.19,n/a,n/a,0.1,7.3,6.6,n/a,n/a,n/a,n/a,n/a,99.0,62,0.5,37,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-R5 ,Plagioclase,Phenocryst Rim,tg2,66.9,n/a,18.9,0.20,n/a,n/a,0.2,7.4,6.0,n/a,n/a,n/a,n/a,n/a,99.6,65,0.7,35,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-C1 ,Plagioclase,Phenocryst Core,tg2,64.0,n/a,18.7,0.19,n/a,n/a,0.1,7.5,6.1,n/a,n/a,n/a,n/a,n/a,96.6,65,0.7,35,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-C2 ,Plagioclase,Phenocryst Core,tg2,63.8,n/a,18.8,0.17,n/a,n/a,0.1,7.0,6.9,n/a,n/a,n/a,n/a,n/a,96.8,61,0.4,39,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-C3 ,Plagioclase,Phenocryst Core,tg2,63.5,n/a,18.5,0.15,n/a,n/a,0.1,6.6,7.4,n/a,n/a,n/a,n/a,n/a,96.3,58,0.4,42,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-C4 ,Plagioclase,Phenocryst Core,tg2,64.3,n/a,18.9,0.18,n/a,n/a,0.2,7.6,6.1,n/a,n/a,n/a,n/a,n/a,97.3,65,1.0,34,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-C5 ,Plagioclase,Phenocryst Core,tg2,64.4,n/a,18.7,0.16,n/a,n/a,0.1,7.0,7.2,n/a,n/a,n/a,n/a,n/a,97.6,59,0.3,40,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-R1 ,Plagioclase,Phenocryst Rim,tg2,67.0,n/a,19.4,0.27,n/a,n/a,0.2,8.1,5.0,n/a,n/a,n/a,n/a,n/a,100.0,70,1.1,29,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-R2 ,Plagioclase,Phenocryst Rim,tg2,66.1,n/a,18.8,0.23,n/a,n/a,0.2,7.2,6.5,n/a,n/a,n/a,n/a,n/a,99.0,63,0.7,37,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-R3 ,Plagioclase,Phenocryst Rim,tg2,65.0,n/a,18.8,0.33,n/a,n/a,0.3,8.0,4.4,n/a,n/a,n/a,n/a,n/a,96.8,72,1.4,26,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-R5 ,Plagioclase,Phenocryst Rim,tg2,57.0,n/a,16.7,8.68,n/a,n/a,1.2,7.2,4.6,n/a,n/a,n/a,n/a,n/a,95.4,66,6.2,28,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-C1 ,Plagioclase,Phenocryst Core,tg2,65.7,n/a,18.7,0.19,n/a,n/a,0.2,6.1,8.0,n/a,n/a,n/a,n/a,n/a,98.9,53,0.8,46,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-C2 ,Plagioclase,Phenocryst Core,tg2,65.6,n/a,18.9,0.17,n/a,n/a,0.2,6.1,8.2,n/a,n/a,n/a,n/a,n/a,99.2,53,0.9,47,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-C3 ,Plagioclase,Phenocryst Core,tg2,66.0,n/a,18.6,0.18,n/a,n/a,0.2,5.9,8.2,n/a,n/a,n/a,n/a,n/a,99.1,52,0.8,48,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-C4 ,Plagioclase,Phenocryst Core,tg2,65.3,n/a,19.0,0.22,n/a,n/a,0.3,6.5,7.0,n/a,n/a,n/a,n/a,n/a,98.3,57,1.4,41,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-C5 ,Plagioclase,Phenocryst Core,tg2,66.0,n/a,19.0,0.19,n/a,n/a,0.2,6.5,7.4,n/a,n/a,n/a,n/a,n/a,99.3,56,1.1,42,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-R1 ,Plagioclase,Phenocryst Rim,tg2,66.6,n/a,19.0,0.12,n/a,n/a,0.3,6.5,7.2,n/a,n/a,n/a,n/a,n/a,99.7,57,1.5,41,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-R2 ,Plagioclase,Phenocryst Rim,tg2,57.5,n/a,17.6,7.79,n/a,n/a,1.1,7.0,4.4,n/a,n/a,n/a,n/a,n/a,95.4,67,5.9,28,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-R3 ,Plagioclase,Phenocryst Rim,tg2,66.6,n/a,19.4,0.25,n/a,n/a,0.4,7.4,5.7,n/a,n/a,n/a,n/a,n/a,99.8,65,1.8,33,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-R4 ,Plagioclase,Phenocryst Rim,tg2,65.8,n/a,18.5,0.23,n/a,n/a,0.2,5.9,7.8,n/a,n/a,n/a,n/a,n/a,98.4,53,0.9,46,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-R5 ,Plagioclase,Phenocryst Rim,tg2,66.1,n/a,19.3,0.23,n/a,n/a,0.5,7.2,6.0,n/a,n/a,n/a,n/a,n/a,99.3,63,2.4,34,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-C1 ,Plagioclase,Phenocryst Core,tg2,65.8,n/a,19.0,0.22,n/a,n/a,0.2,6.1,7.6,n/a,n/a,n/a,n/a,n/a,98.9,55,0.9,44,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-C2 ,Plagioclase,Phenocryst Core,tg2,65.7,n/a,18.9,0.16,n/a,n/a,0.2,6.1,7.7,n/a,n/a,n/a,n/a,n/a,98.8,54,1.0,45,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-C3 ,Plagioclase,Phenocryst Core,tg2,65.3,n/a,18.7,0.15,n/a,n/a,0.2,6.1,7.9,n/a,n/a,n/a,n/a,n/a,98.4,54,1.0,45,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-C4 ,Plagioclase,Phenocryst Core,tg2,66.6,n/a,18.9,0.13,n/a,n/a,0.2,6.1,7.9,n/a,n/a,n/a,n/a,n/a,99.8,53,1.0,46,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-C5 ,Plagioclase,Phenocryst Core,tg2,66.1,n/a,19.0,0.22,n/a,n/a,0.2,6.1,7.8,n/a,n/a,n/a,n/a,n/a,99.4,54,1.0,45,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-R1 ,Plagioclase,Phenocryst Rim,tg2,67.3,n/a,18.9,0.13,n/a,n/a,0.2,6.1,7.7,n/a,n/a,n/a,n/a,n/a,100.3,54,0.7,45,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-R2 ,Plagioclase,Phenocryst Rim,tg2,66.4,n/a,19.5,0.25,n/a,n/a,0.5,7.5,5.6,n/a,n/a,n/a,n/a,n/a,99.8,65,2.6,32,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-R3 ,Plagioclase,Phenocryst Rim,tg2,66.4,n/a,18.8,0.19,n/a,n/a,0.3,5.8,8.0,n/a,n/a,n/a,n/a,n/a,99.5,52,1.3,47,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-R4 ,Plagioclase,Phenocryst Rim,tg2,63.6,n/a,18.6,1.25,n/a,n/a,0.4,8.6,4.0,n/a,n/a,n/a,n/a,n/a,96.5,75,1.9,23,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-R5 ,Plagioclase,Phenocryst Rim,tg2,65.6,n/a,19.0,0.22,n/a,n/a,0.2,6.3,7.3,n/a,n/a,n/a,n/a,n/a,98.6,56,1.2,43,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-C1 ,Plagioclase,Phenocryst Core,tg2,64.5,n/a,19.5,0.14,n/a,n/a,0.5,7.7,4.9,n/a,n/a,n/a,n/a,n/a,97.2,69,2.3,29,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-C2 ,Plagioclase,Phenocryst Core,tg2,64.6,n/a,18.9,0.19,n/a,n/a,0.2,6.5,7.1,n/a,n/a,n/a,n/a,n/a,97.5,57,1.2,41,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-C3 ,Plagioclase,Phenocryst Core,tg2,65.3,n/a,19.2,0.20,n/a,n/a,0.4,7.7,5.4,n/a,n/a,n/a,n/a,n/a,98.2,67,2.0,31,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-C4 ,Plagioclase,Phenocryst Core,tg2,63.8,n/a,18.8,0.21,n/a,n/a,0.3,7.1,6.2,n/a,n/a,n/a,n/a,n/a,96.4,63,1.4,36,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-C5 ,Plagioclase,Phenocryst Core,tg2,64.7,n/a,18.9,0.21,n/a,n/a,0.4,7.1,6.1,n/a,n/a,n/a,n/a,n/a,97.4,63,2.1,35,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-R1 ,Plagioclase,Phenocryst Rim,tg2,66.0,n/a,19.0,0.22,n/a,n/a,0.3,7.8,5.1,n/a,n/a,n/a,n/a,n/a,98.4,69,1.6,30,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-R2 ,Plagioclase,Phenocryst Rim,tg2,67.1,n/a,19.4,0.15,n/a,n/a,0.4,8.1,4.7,n/a,n/a,n/a,n/a,n/a,99.9,71,1.8,27,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-R3 ,Plagioclase,Phenocryst Rim,tg2,67.0,n/a,19.7,0.36,n/a,n/a,0.4,8.7,4.6,n/a,n/a,n/a,n/a,n/a,100.8,73,1.9,25,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-R4 ,Plagioclase,Phenocryst Rim,tg2,66.3,n/a,18.9,0.20,n/a,n/a,0.3,7.1,6.6,n/a,n/a,n/a,n/a,n/a,99.4,61,1.3,37,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-R5 ,Plagioclase,Phenocryst Rim,tg2,66.6,n/a,18.9,0.29,n/a,n/a,0.3,7.1,6.3,n/a,n/a,n/a,n/a,n/a,99.5,62,1.3,37,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-C1 ,Plagioclase,Phenocryst Core,tg2,64.5,n/a,18.8,0.23,n/a,n/a,0.2,5.7,7.9,n/a,n/a,n/a,n/a,n/a,97.3,52,0.9,47,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-C2 ,Plagioclase,Phenocryst Core,tg2,65.9,n/a,19.1,0.16,n/a,n/a,0.3,6.4,7.3,n/a,n/a,n/a,n/a,n/a,99.2,56,1.3,43,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-C3 ,Plagioclase,Phenocryst Core,tg2,65.0,n/a,18.8,0.20,n/a,n/a,0.2,5.8,8.2,n/a,n/a,n/a,n/a,n/a,98.2,52,0.8,48,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-C4 ,Plagioclase,Phenocryst Core,tg2,65.7,n/a,18.8,0.20,n/a,n/a,0.1,5.8,8.5,n/a,n/a,n/a,n/a,n/a,99.1,51,0.5,49,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-C5 ,Plagioclase,Phenocryst Core,tg2,65.9,n/a,18.8,0.12,n/a,n/a,0.1,5.7,8.7,n/a,n/a,n/a,n/a,n/a,99.3,50,0.5,50,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-R1 ,Plagioclase,Phenocryst Rim,tg2,67.3,n/a,18.8,0.44,n/a,n/a,0.3,7.4,5.7,n/a,n/a,n/a,n/a,n/a,99.9,65,1.3,33,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
R14AC91,MW3-R2 ,Plagioclase,Phenocryst Rim,tg2,66.8,n/a,19.1,0.30,n/a,n/a,0.1,7.8,5.7,n/a,n/a,n/a,n/a,n/a,99.8,67,0.5,32,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,
